"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I530","2019-09-14 00:00:00","3014.000","335.000","0.900","12.400","0.300","702.800","-99.000","0.000","-99.000","-99.000","-99.000","18.000","","9.400",""
"C0A880","2019-09-14 00:00:00","6.000","262.000","1.800","24.000","0.920","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","24.000",""
"C0S950","2019-09-14 00:00:00","415.000","237.000","2.100","23.300","0.960","962.100","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","21.800",""
"C0E730","2019-09-14 00:00:00","26.000","39.000","0.600","27.200","0.680","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","27.200",""
"C0U900","2019-09-14 00:00:00","63.000","311.000","1.100","26.000","0.810","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","24.400",""
"C0Z230","2019-09-14 00:00:00","31.000","295.000","2.100","26.900","0.800","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","25.700",""
"C0F9O0","2019-09-14 00:00:00","175.000","68.000","0.400","27.600","1.000","987.900","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","27.500",""
"C0C540","2019-09-14 00:00:00","46.000","83.000","1.700","26.400","0.770","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","26.300",""
"C0G770","2019-09-14 00:00:00","15.000","35.000","1.200","28.300","0.810","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","27.800",""
"C0V670","2019-09-14 00:00:00","20.000","123.000","1.800","30.000","0.760","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","28.300",""
"C0A870","2019-09-14 00:00:00","685.000","85.000","3.900","20.100","0.990","931.900","-99.000","0.000","-99.000","-99.000","-99.000","27.400","","20.100",""
"C0R220","2019-09-14 00:00:00","23.000","103.000","0.900","28.000","0.990","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.700",""
"C0Z220","2019-09-14 00:00:00","589.000","0.000","0.100","21.900","0.990","945.100","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","20.500",""
"C0D560","2019-09-14 00:00:00","147.000","64.000","0.400","26.500","0.710","992.000","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","24.800",""
"C0I380","2019-09-14 00:00:00","258.000","108.000","0.400","26.700","0.900","977.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.700",""
"C0Z020","2019-09-14 00:00:00","211.000","317.000","2.200","24.400","0.980","984.600","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","20.400",""
"C0Z190","2019-09-14 00:00:00","62.000","310.000","0.600","25.700","0.990","1001.400","-99.000","3.000","-99.000","-99.000","-99.000","30.800","","25.700",""
"C0C710","2019-09-14 00:00:00","143.000","149.000","0.400","24.400","0.800","992.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","23.500",""
"C0D360","2019-09-14 00:00:00","523.000","0.000","0.000","22.000","0.950","949.400","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","20.400",""
"C0C680","2019-09-14 00:00:00","228.000","143.000","1.400","25.300","0.820","981.800","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.300",""
"C0X140","2019-09-14 00:00:00","17.000","0.000","0.100","29.100","0.870","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","27.800",""
"C0V710","2019-09-14 00:00:00","34.000","139.000","0.800","29.900","0.740","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","27.400",""
"C0G840","2019-09-14 00:00:00","32.000","0.000","0.000","26.300","0.910","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.300",""
"C0S890","2019-09-14 00:00:00","238.000","0.000","0.100","24.300","0.950","984.900","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","20.800",""
"C0T820","2019-09-14 00:00:00","550.000","0.000","0.000","22.500","0.920","951.800","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","17.100",""
"C0F9I0","2019-09-14 00:00:00","194.000","72.000","1.400","26.200","0.860","985.600","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.000",""
"C0C650","2019-09-14 00:00:00","208.000","46.000","1.600","24.500","0.740","985.100","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","24.200",""
"C0R600","2019-09-14 00:00:00","766.000","285.000","0.800","24.500","0.810","924.400","-99.000","0.000","-99.000","-99.000","-99.000","27.400","","22.900",""
"C0Z320","2019-09-14 00:00:00","646.000","248.000","0.800","19.700","0.970","938.200","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","15.900",""
"C0V210","2019-09-14 00:00:00","734.000","169.000","0.300","23.700","0.930","929.100","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","17.800",""
"C0S810","2019-09-14 00:00:00","65.000","339.000","1.600","25.100","0.920","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","23.100",""
"C0R580","2019-09-14 00:00:00","10.000","113.000","1.300","27.400","-99.000","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.000",""
"C0Z330","2019-09-14 00:00:00","488.000","9.000","0.900","23.000","0.970","956.600","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","20.300",""
"C0E590","2019-09-14 00:00:00","40.000","20.000","0.800","25.000","0.930","1002.400","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.800",""
"C0D540","2019-09-14 00:00:00","227.000","83.000","0.300","24.400","0.840","983.700","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","21.600",""
"C0K420","2019-09-14 00:00:00","42.000","322.000","0.600","27.400","0.820","1002.600","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.300",""
"C0Z180","2019-09-14 00:00:00","34.000","241.000","0.700","27.200","0.810","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","25.000",""
"C0AD10","2019-09-14 00:00:00","27.000","268.000","1.900","27.300","0.730","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.300",""
"C0M720","2019-09-14 00:00:00","225.000","0.000","0.000","26.100","0.860","982.500","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","25.200",""
"C0V450","2019-09-14 00:00:00","51.000","0.000","0.000","27.800","0.990","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0R280","2019-09-14 00:00:00","242.000","67.000","0.700","25.400","-99.000","980.500","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","24.300",""
"C0E610","2019-09-14 00:00:00","850.000","0.000","0.000","22.800","0.840","916.400","-99.000","0.000","-99.000","-99.000","-99.000","28.000","","22.200",""
"C0V610","2019-09-14 00:00:00","22.000","38.000","1.100","29.300","0.840","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.200",""
"C0Z310","2019-09-14 00:00:00","59.000","343.000","0.800","25.100","0.990","1002.600","-99.000","2.000","-99.000","-99.000","-99.000","31.900","","24.800",""
"C0S700","2019-09-14 00:00:00","507.000","275.000","0.300","22.400","0.980","953.900","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","20.600",""
"C0T9G0","2019-09-14 00:00:00","605.000","30.000","0.900","22.300","0.990","944.500","-99.000","0.000","-99.000","-99.000","-99.000","29.300","","21.600",""
"C0U520","2019-09-14 00:00:00","517.000","233.000","0.900","22.300","0.990","954.600","-99.000","0.500","-99.000","-99.000","-99.000","30.800","","21.900",""
"C0E750","2019-09-14 00:00:00","62.000","58.000","0.400","27.100","0.760","1000.100","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.200",""
"C0G660","2019-09-14 00:00:00","27.000","353.000","1.000","27.200","0.820","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.900",""
"C0W140","2019-09-14 00:00:00","21.000","68.000","3.000","28.200","0.830","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","27.300",""
"C0U720","2019-09-14 00:00:00","1260.000","230.000","0.400","19.100","0.990","885.800","-99.000","0.000","-99.000","-99.000","-99.000","26.700","","17.300",""
"C0R690","2019-09-14 00:00:00","248.000","357.000","0.600","24.700","-99.000","980.100","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","24.700",""
"C0X150","2019-09-14 00:00:00","18.000","167.000","0.500","29.300","0.850","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","28.100",""
"C0Z050","2019-09-14 00:00:00","830.000","0.000","0.100","21.200","0.910","920.400","-99.000","0.000","-99.000","-99.000","-99.000","27.200","","18.600",""
"C0I490","2019-09-14 00:00:00","1601.000","163.000","1.300","18.000","0.990","840.600","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","17.800",""
"C0I090","2019-09-14 00:00:00","910.000","187.000","0.700","22.500","0.900","910.100","-99.000","0.000","-99.000","-99.000","-99.000","26.300","","20.900",""
"C0X240","2019-09-14 00:00:00","394.000","186.000","1.300","24.300","0.960","964.900","-99.000","10.500","-99.000","-99.000","-99.000","30.800","","23.300",""
"C0S990","2019-09-14 00:00:00","409.000","20.000","2.400","24.900","0.910","964.000","-99.000","0.000","-99.000","-99.000","-99.000","27.600","","23.800",""
"C0E850","2019-09-14 00:00:00","104.000","93.000","0.400","24.800","0.910","995.800","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","24.800",""
"C0T9B0","2019-09-14 00:00:00","558.000","198.000","0.500","23.000","0.990","948.400","-99.000","0.000","-99.000","-99.000","-99.000","27.600","","22.400",""
"C0G650","2019-09-14 00:00:00","34.000","0.000","0.000","26.800","0.990","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.800",""
"C0K580","2019-09-14 00:00:00","26.000","311.000","0.300","27.100","0.900","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.700",""
"C0X050","2019-09-14 00:00:00","25.000","263.000","0.600","27.000","0.970","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","26.100",""
"CM0100","2019-09-14 00:00:00","25.000","41.000","1.400","27.600","0.660","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.500",""
"C0AC70","2019-09-14 00:00:00","71.000","0.000","0.000","26.800","0.800","1000.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.800",""
"CM0130","2019-09-14 00:00:00","11.000","348.000","0.400","29.000","0.790","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","28.400",""
"C0W110","2019-09-14 00:00:00","16.000","35.000","3.000","-99.000","-99.000","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R670","2019-09-14 00:00:00","26.000","63.000","1.100","27.800","-99.000","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.000",""
"C0X120","2019-09-14 00:00:00","28.000","185.000","0.500","28.300","0.870","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","27.200",""
"C0R100","2019-09-14 00:00:00","1006.000","0.000","0.100","21.700","1.000","900.500","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","19.200",""
"C0C700","2019-09-14 00:00:00","151.000","94.000","2.200","26.600","0.740","992.100","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.600",""
"C0W130","2019-09-14 00:00:00","18.000","21.000","2.200","26.200","0.920","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","26.000",""
"C0F9R0","2019-09-14 00:00:00","20.000","37.000","1.700","27.400","0.960","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","27.300",""
"C0V660","2019-09-14 00:00:00","25.000","98.000","0.700","28.500","0.890","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","27.100",""
"C0G780","2019-09-14 00:00:00","27.000","11.000","1.700","27.700","0.790","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","27.700",""
"C0C590","2019-09-14 00:00:00","72.000","55.000","0.400","25.500","0.850","999.800","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.500",""
"C0I520","2019-09-14 00:00:00","3860.000","-99.000","-99.000","6.300","0.460","643.100","-99.000","-99.000","-99.000","-99.000","-99.000","13.100","","5.600",""
"C0E530","2019-09-14 00:00:00","341.000","314.000","0.400","23.300","0.940","969.400","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","23.300",""
"C0M790","2019-09-14 00:00:00","15.000","0.000","0.000","28.100","0.780","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","26.700",""
"C0R130","2019-09-14 00:00:00","1040.000","79.000","0.900","21.200","0.990","894.500","-99.000","0.000","-99.000","-99.000","-99.000","27.700","","18.900",""
"C0AH30","2019-09-14 00:00:00","755.000","33.000","3.400","20.200","1.000","924.500","-99.000","0.000","-99.000","-99.000","-99.000","24.800","","20.100",""
"C0X170","2019-09-14 00:00:00","50.000","164.000","1.400","28.300","0.860","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.900",""
"C0K291","2019-09-14 00:00:00","8.000","49.000","0.500","28.200","0.860","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","27.100",""
"C0D480","2019-09-14 00:00:00","223.000","0.000","0.000","24.300","0.870","982.600","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.200",""
"C0F0C0","2019-09-14 00:00:00","983.000","0.000","0.000","21.100","0.990","901.400","-99.000","0.000","-99.000","-99.000","-99.000","25.800","","19.900",""
"C0U860","2019-09-14 00:00:00","5.000","0.000","0.100","25.900","0.810","1008.500","-99.000","4.000","-99.000","-99.000","-99.000","31.500","","25.500",""
"C0UA50","2019-09-14 00:00:00","808.000","316.000","1.600","20.400","0.990","920.800","-99.000","2.500","-99.000","-99.000","-99.000","27.900","","20.100",""
"C0T960","2019-09-14 00:00:00","120.000","0.000","0.000","25.300","0.990","995.600","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","20.500",""
"C0SA80","2019-09-14 00:00:00","136.000","245.000","0.300","25.200","0.930","993.300","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","22.300",""
"C0E780","2019-09-14 00:00:00","160.000","0.000","0.000","25.000","0.920","989.600","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0F9Q0","2019-09-14 00:00:00","149.000","129.000","1.700","26.200","0.900","990.000","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","25.700",""
"C0F9X0","2019-09-14 00:00:00","166.000","355.000","2.100","26.100","0.870","989.400","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.100",""
